Country,NumAthletes
Spain,24
Australia,23
France,23
Japan,23
Nigeria,23
United States of America,23
Argentina,12
Belgium,12
Canada,12
Czech Republic,12
Germany,12
Islamic Republic of Iran,12
People's Republic of China,12
Puerto Rico,12
Serbia,12
Slovenia,12
Republic of Korea,11
Italy,10
